;model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
0; 5 Series;2014;11200;Automatic;67068;Diesel;125;57,6;2,0;bmw
1; 6 Series;2018;27000;Automatic;14827;Petrol;145;42,8;2,0;bmw
2; 5 Series;2016;16000;Automatic;62794;Diesel;160;51,4;3,0;bmw
3; 1 Series;2017;12750;Automatic;26676;Diesel;145;72,4;1,5;bmw
4; 7 Series;2014;14500;Automatic;39554;Diesel;160;50,4;3,0;bmw
5; 5 Series;2016;14900;Automatic;35309;Diesel;125;60,1;2,0;bmw
6; 5 Series;2017;16000;Automatic;38538;Diesel;125;60,1;2,0;bmw
7; 2 Series;2018;16250;Manual;10401;Petrol;145;52,3;1,5;bmw
8; 4 Series;2017;14250;Manual;42668;Diesel;30;62,8;2,0;bmw
9; 5 Series;2016;14250;Automatic;36099;Diesel;20;68,9;2,0;bmw
10; X3;2017;15500;Manual;74907;Diesel;145;52,3;2,0;bmw
11; 1 Series;2017;11800;Manual;29840;Diesel;20;68,9;2,0;bmw
12; X3;2016;15500;Automatic;77823;Diesel;125;54,3;2,0;bmw
13; 2 Series;2015;10500;Manual;31469;Diesel;20;68,9;2,0;bmw
14; X3;2017;22000;Automatic;19057;Diesel;145;54,3;2,0;bmw
15; 3 Series;2017;16500;Manual;16570;Diesel;125;58,9;2,0;bmw
16; 3 Series;2017;14250;Automatic;55594;Other;135;148,7;2,0;bmw
17; 3 Series;2017;16000;Automatic;45456;Diesel;30;64,2;2,0;bmw
18; 1 Series;2017;15500;Automatic;22812;Diesel;20;68,9;1,5;bmw
19; 4 Series;2014;14000;Automatic;47348;Diesel;125;60,1;2,0;bmw
20; 1 Series;2015;9700;Automatic;75124;Diesel;20;70,6;2,0;bmw
21; 3 Series;2015;12600;Automatic;78957;Diesel;30;62,8;2,0;bmw
22; 3 Series;2016;15100;Automatic;29213;Diesel;30;64,2;2,0;bmw
23; 1 Series;2016;9400;Manual;44498;Diesel;0;83,1;1,5;bmw
24; 1 Series;2016;14300;Automatic;22461;Diesel;20;67,3;2,0;bmw
25; 1 Series;2016;11200;Manual;23005;Petrol;125;53,3;1,5;bmw
26; 3 Series;2019;17800;Automatic;22310;Diesel;145;64,2;2,0;bmw
27; 3 Series;2016;14400;Automatic;51994;Diesel;30;62,8;2,0;bmw
28; X5;2016;19750;Automatic;96213;Diesel;165;52,3;2,0;bmw
29; X3;2015;17400;Automatic;50316;Diesel;200;47,9;3,0;bmw
30; 4 Series;2017;16800;Automatic;44011;Diesel;150;65,7;2,0;bmw
31; X4;2017;23000;Automatic;34960;Diesel;150;54,3;2,0;bmw
32; i3;2016;17100;Automatic;25269;Other;0;470,8;0,6;bmw
33; 1 Series;2017;20500;Automatic;24029;Petrol;145;39,8;3,0;bmw
34; 1 Series;2017;11900;Manual;22920;Petrol;145;53,3;1,5;bmw
35; 2 Series;2017;13000;Automatic;61818;Other;0;141,2;1,5;bmw
36; 3 Series;2015;11500;Manual;59634;Diesel;125;61,4;2,0;bmw
37; 1 Series;2016;13500;Manual;29226;Diesel;30;62,8;2,0;bmw
38; X1;2017;18900;Automatic;33514;Diesel;145;60,1;2,0;bmw
39; 1 Series;2018;14600;Automatic;6522;Petrol;145;37,2;1,5;bmw
40; 3 Series;2016;15800;Manual;11231;Petrol;145;47,9;2,0;bmw
41; 1 Series;2016;11400;Manual;21591;Petrol;125;53,3;1,5;bmw
42; X3;2013;12000;Automatic;79972;Diesel;200;47,1;3,0;bmw
43; 1 Series;2018;17500;Automatic;14037;Petrol;145;54,3;1,5;bmw
44; 5 Series;2017;23500;Automatic;25034;Diesel;200;47,9;3,0;bmw
45; X1;2016;16700;Automatic;44478;Diesel;125;60,1;2,0;bmw
46; X3;2017;18000;Automatic;74852;Diesel;150;47,1;3,0;bmw
47; 4 Series;2016;15500;Automatic;45856;Diesel;30;65,7;2,0;bmw
48; 1 Series;2016;9200;Manual;48858;Diesel;0;83,1;1,5;bmw
49; 1 Series;2017;11200;Manual;40399;Diesel;145;68,9;2,0;bmw
50; 1 Series;2016;13200;Manual;17393;Diesel;30;65,7;2,0;bmw
51; 5 Series;2014;11000;Automatic;84816;Diesel;30;62,8;2,0;bmw
52; 3 Series;2017;18500;Automatic;27139;Diesel;160;51,4;3,0;bmw
53; 1 Series;2017;12750;Automatic;91563;Diesel;125;60,1;2,0;bmw
54; 3 Series;2014;14000;Manual;32139;Petrol;205;43,5;2,0;bmw
55; X1;2017;14000;Automatic;54120;Diesel;30;65,7;2,0;bmw
56; X1;2017;14000;Manual;20925;Diesel;150;68,9;2,0;bmw
57; 3 Series;2016;12750;Manual;30521;Diesel;20;68,9;2,0;bmw
58; X1;2018;18000;Manual;16066;Petrol;150;51,4;1,5;bmw
59; 1 Series;2015;11100;Manual;11524;Diesel;0;83,1;1,5;bmw
60; 1 Series;2017;12700;Manual;21809;Petrol;145;53,3;1,5;bmw
61; 1 Series;2017;14500;Automatic;27245;Diesel;145;68,9;2,0;bmw
62; 3 Series;2013;12750;Automatic;35736;Diesel;125;58,9;2,0;bmw
63; X1;2017;14100;Automatic;55782;Diesel;145;65,7;2,0;bmw
64; 1 Series;2016;10800;Manual;26404;Petrol;125;53,3;1,5;bmw
65; 1 Series;2016;13000;Manual;26631;Petrol;125;52,3;1,5;bmw
66; 1 Series;2016;12500;Manual;24111;Petrol;145;47,1;1,6;bmw
67; 3 Series;2017;13600;Manual;22763;Petrol;145;48,7;2,0;bmw
68; 3 Series;2016;12700;Manual;17385;Diesel;20;72,4;2,0;bmw
69; 5 Series;2016;15600;Automatic;35474;Diesel;125;60,1;2,0;bmw
70; 4 Series;2016;15250;Manual;16584;Diesel;30;62,8;2,0;bmw
71; 1 Series;2018;11700;Manual;30273;Diesel;145;53,3;1,5;bmw
72; 2 Series;2017;10900;Manual;62021;Diesel;145;65,7;2,0;bmw
73; 5 Series;2016;14400;Automatic;51552;Diesel;30;62,8;2,0;bmw
74; 1 Series;2016;11100;Manual;29508;Petrol;125;53,3;1,5;bmw
75; 1 Series;2017;11100;Manual;30865;Diesel;145;72,4;1,5;bmw
76; 5 Series;2014;12400;Automatic;46356;Diesel;30;62,8;2,0;bmw
77; 1 Series;2016;12800;Manual;18343;Diesel;20;70,6;1,5;bmw
78; 5 Series;2014;15000;Automatic;13858;Diesel;125;57,6;2,0;bmw
79; 2 Series;2017;12750;Manual;33752;Petrol;125;52,3;1,5;bmw
80; X3;2016;21750;Automatic;19083;Diesel;150;54,3;2,0;bmw
81; 2 Series;2017;13900;Automatic;46281;Petrol;125;51,4;1,5;bmw
82; X1;2017;14000;Automatic;54183;Diesel;150;65,7;2,0;bmw
83; X1;2017;15200;Automatic;36701;Diesel;30;65,7;2,0;bmw
84; 3 Series;2017;13500;Automatic;48082;Petrol;150;51,4;2,0;bmw
85; X1;2016;12150;Manual;77482;Diesel;20;68,9;2,0;bmw
86; 2 Series;2017;16000;Automatic;32389;Other;0;141,2;1,5;bmw
87; 5 Series;2016;14000;Automatic;39235;Diesel;30;62,8;2,0;bmw
88; 3 Series;2018;19490;Automatic;30703;Diesel;145;57,6;2,0;bmw
89; 1 Series;2015;15499;Semi-Auto;20000;Diesel;125;60,1;2,0;bmw
90; 2 Series;2017;13000;Semi-Auto;34971;Diesel;150;72,4;1,5;bmw
91; 1 Series;2014;10600;Semi-Auto;44900;Diesel;30;64,2;2,0;bmw
92; X3;2017;23000;Semi-Auto;16945;Diesel;150;54,3;2,0;bmw
93; M4;2016;29998;Semi-Auto;34209;Petrol;300;34,0;3,0;bmw
94; 1 Series;2017;12498;Manual;14138;Diesel;20;72,4;1,5;bmw
95; 1 Series;2015;7948;Manual;74375;Diesel;30;65,7;2,0;bmw
96; X1;2017;17800;Automatic;31238;Diesel;145;55,4;2,0;bmw
97; 3 Series;2015;13100;Manual;37204;Diesel;30;64,2;2,0;bmw
98; 1 Series;2017;11400;Manual;26265;Diesel;0;83,1;1,5;bmw
99; 3 Series;2016;14800;Automatic;38838;Diesel;125;57,6;2,0;bmw
100; X3;2016;15900;Automatic;59692;Diesel;145;54,3;2,0;bmw
101; 3 Series;2016;16300;Automatic;34623;Diesel;125;57,6;2,0;bmw
102; 3 Series;2017;14800;Manual;29968;Diesel;30;64,2;2,0;bmw
103; 3 Series;2017;19700;Automatic;27748;Diesel;200;49,6;3,0;bmw
104; 3 Series;2015;14450;Automatic;47288;Diesel;30;62,8;2,0;bmw
105; 5 Series;2016;13500;Automatic;64117;Diesel;30;65,7;2,0;bmw
106; 5 Series;2015;10900;Automatic;79563;Diesel;125;60,1;2,0;bmw
107; 3 Series;2016;12200;Manual;34842;Diesel;30;67,3;2,0;bmw
108; 2 Series;2016;10600;Manual;24313;Diesel;0;74,3;1,5;bmw
109; 2 Series;2015;9100;Manual;40789;Diesel;0;74,3;1,5;bmw
110; 3 Series;2017;12600;Automatic;66743;Diesel;30;67,3;2,0;bmw
111; 5 Series;2016;13600;Automatic;65612;Diesel;30;62,8;2,0;bmw
112; 1 Series;2016;11700;Manual;21390;Diesel;20;72,4;1,5;bmw
113; 3 Series;2017;12450;Automatic;72065;Diesel;20;70,6;2,0;bmw
114; 5 Series;2016;13500;Automatic;62444;Diesel;125;60,1;2,0;bmw
115; X3;2013;12750;Automatic;71558;Diesel;160;50,4;2,0;bmw
116; X1;2017;16700;Automatic;34666;Diesel;145;65,7;2,0;bmw
117; 1 Series;2016;11400;Manual;22920;Diesel;20;72,4;1,5;bmw
118; X5;2016;21000;Automatic;71626;Other;0;85,6;2,0;bmw
119; X1;2017;14700;Manual;38405;Diesel;145;68,9;2,0;bmw
120; 3 Series;2018;19000;Automatic;20681;Diesel;145;64,2;2,0;bmw
121; 3 Series;2017;15400;Automatic;20529;Diesel;145;65,7;2,0;bmw
122; X3;2016;19000;Automatic;42691;Diesel;145;54,3;2,0;bmw
123; 1 Series;2018;15000;Automatic;10058;Petrol;145;37,2;1,5;bmw
124; 3 Series;2016;17950;Automatic;40337;Diesel;145;53,3;3,0;bmw
125; 5 Series;2018;22600;Automatic;23195;Diesel;145;65,7;2,0;bmw
126; 1 Series;2017;13200;Manual;17117;Petrol;145;53,3;1,5;bmw
127; 3 Series;2017;12750;Manual;22153;Diesel;150;68,9;2,0;bmw
128; 3 Series;2015;9750;Manual;56038;Diesel;20;68,9;2,0;bmw
129; 3 Series;2017;10900;Automatic;78345;Diesel;0;74,3;2,0;bmw
130; X4;2016;21400;Automatic;31084;Diesel;145;54,3;2,0;bmw
131; 1 Series;2017;14600;Automatic;5615;Petrol;145;58,9;1,5;bmw
132; 3 Series;2017;12600;Automatic;55751;Petrol;150;51,4;1,5;bmw
133; X4;2017;22500;Automatic;35016;Diesel;150;54,3;2,0;bmw
134; 1 Series;2016;8000;Manual;81579;Diesel;0;83,1;1,5;bmw
135; X1;2017;14800;Manual;31518;Diesel;145;60,1;2,0;bmw
136; 1 Series;2016;9900;Manual;44008;Diesel;0;83,1;1,5;bmw
137; 2 Series;2016;9500;Manual;59509;Diesel;20;68,9;2,0;bmw
138; 3 Series;2017;17950;Automatic;43703;Other;140;134,5;2,0;bmw
139; 1 Series;2016;14200;Automatic;36858;Diesel;125;60,1;2,0;bmw
140; 1 Series;2016;12100;Automatic;25786;Diesel;0;74,3;2,0;bmw
141; 1 Series;2016;12700;Automatic;24592;Diesel;20;68,9;2,0;bmw
142; 1 Series;2016;8800;Manual;51002;Diesel;0;83,1;1,5;bmw
143; 1 Series;2017;15000;Automatic;26052;Diesel;145;68,9;2,0;bmw
144; 3 Series;2017;17100;Automatic;31528;Diesel;145;64,2;2,0;bmw
145; X3;2017;21750;Automatic;25776;Diesel;200;47,9;3,0;bmw
146; 1 Series;2016;13400;Manual;18055;Petrol;125;52,3;1,5;bmw
147; 3 Series;2014;9900;Automatic;63223;Diesel;20;68,9;2,0;bmw
148; 1 Series;2016;13700;Manual;8719;Petrol;125;52,3;1,5;bmw
149; 4 Series;2018;16900;Automatic;27133;Petrol;145;44,8;2,0;bmw
150; 5 Series;2018;21950;Automatic;21947;Diesel;150;68,9;2,0;bmw
151; X1;2013;8750;Manual;80625;Diesel;160;51,4;2,0;bmw
152; 3 Series;2017;17000;Automatic;31501;Other;0;134,5;2,0;bmw
153; 1 Series;2016;13750;Automatic;8707;Petrol;30;55,5;1,5;bmw
154; 1 Series;2017;12800;Manual;10861;Petrol;125;53,3;1,5;bmw
155; 4 Series;2017;16000;Manual;16359;Petrol;145;46,3;2,0;bmw
156; 4 Series;2017;16600;Automatic;46913;Diesel;145;65,7;2,0;bmw
157; 3 Series;2017;15100;Manual;37747;Diesel;125;60,1;2,0;bmw
158; 4 Series;2017;16750;Manual;24882;Petrol;145;46,3;2,0;bmw
159; 1 Series;2015;12450;Manual;24474;Petrol;125;52,3;1,5;bmw
160; 3 Series;2018;15700;Automatic;29394;Petrol;145;48,7;2,0;bmw
161; 5 Series;2016;12600;Manual;59528;Diesel;125;60,1;2,0;bmw
162; 2 Series;2016;14600;Manual;15577;Petrol;160;44,1;2,0;bmw
163; X1;2016;13700;Manual;52226;Diesel;20;68,9;2,0;bmw
164; 3 Series;2017;16900;Automatic;12330;Diesel;30;64,2;2,0;bmw
165; 4 Series;2015;15998;Semi-Auto;62943;Diesel;30;65,7;2,0;bmw
166; X1;2020;31498;Semi-Auto;1560;Diesel;145;60,1;2,0;bmw
167; 2 Series;2020;27998;Manual;1580;Petrol;150;43,5;1,5;bmw
168; X5;2020;54998;Semi-Auto;1500;Diesel;150;37,7;3,0;bmw
169; 3 Series;2014;11998;Manual;11545;Petrol;165;44,8;2,0;bmw
170; 2 Series;2020;25998;Automatic;3160;Hybrid;140;113,0;1,5;bmw
171; 1 Series;2020;31998;Semi-Auto;1560;Diesel;150;48,7;2,0;bmw
172; X2;2020;29998;Manual;1850;Diesel;150;49,6;2,0;bmw
173; X4;2019;33998;Semi-Auto;7272;Diesel;150;42,8;2,0;bmw
174; X4;2019;33998;Semi-Auto;7272;Diesel;150;42,8;2,0;bmw
175; 1 Series;2017;14995;Manual;19866;Diesel;30;65,7;2,0;bmw
176; 4 Series;2016;17995;Semi-Auto;22476;Petrol;145;48,7;2,0;bmw
177; 1 Series;2013;14498;Semi-Auto;42786;Petrol;235;37,7;3,0;bmw
178; 1 Series;2015;10998;Manual;42410;Diesel;30;65,7;2,0;bmw
179; 5 Series;2014;11998;Semi-Auto;60681;Diesel;125;57,6;2,0;bmw
180; X1;2016;14498;Manual;57717;Diesel;125;58,9;2,0;bmw
181; 3 Series;2017;16998;Semi-Auto;8096;Petrol;145;51,4;2,0;bmw
182; 1 Series;2015;11498;Manual;49151;Diesel;30;62,8;2,0;bmw
183; X6;2017;29498;Semi-Auto;40429;Diesel;200;47,1;3,0;bmw
184; M4;2016;31498;Semi-Auto;21107;Petrol;300;34,0;3,0;bmw
185; 1 Series;2016;19498;Semi-Auto;33043;Petrol;200;39,8;3,0;bmw
186; X1;2016;17998;Semi-Auto;50378;Diesel;125;57,6;2,0;bmw
