;model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
0; SLK;2005;5200;Automatic;63000;Petrol;325;32,1;1,8;mercedes
1; S Class;2017;34948;Automatic;27000;Hybrid;20;61,4;2,1;mercedes
2; SL CLASS;2016;49948;Automatic;6200;Petrol;555;28,0;5,5;mercedes
3; G Class;2016;61948;Automatic;16000;Petrol;325;30,4;4,0;mercedes
4; G Class;2016;73948;Automatic;4000;Petrol;325;30,1;4,0;mercedes
5; SL CLASS;2011;149948;Automatic;3000;Petrol;570;21,4;6,2;mercedes
6; GLE Class;2018;30948;Automatic;16000;Diesel;145;47,9;2,1;mercedes
7; S Class;2012;10948;Automatic;107000;Petrol;265;36,7;3,5;mercedes
8; G Class;2019;139948;Automatic;12000;Petrol;145;21,4;4,0;mercedes
9; GLA Class;2017;19750;Automatic;15258;Diesel;30;64,2;2,1;mercedes
10; A Class;2020;32980;Automatic;606;Petrol;145;35,8;2,0;mercedes
11; A Class;2020;26980;Automatic;1000;Diesel;145;62,8;1,5;mercedes
12; B Class;2019;23750;Automatic;278;Diesel;145;55,4;2,0;mercedes
13; GLC Class;2019;67980;Automatic;5500;Petrol;145;21,7;4,0;mercedes
14; GLA Class;2016;18980;Automatic;41713;Diesel;125;56,6;2,1;mercedes
15; B Class;2017;15890;Automatic;24841;Diesel;150;68,9;1,5;mercedes
16; C Class;2017;19890;Automatic;30281;Diesel;150;60,1;2,1;mercedes
17; GLE Class;2019;56800;Automatic;2483;Petrol;145;29,5;3,0;mercedes
18; B Class;2017;17513;Automatic;14128;Diesel;150;68,9;2,1;mercedes
19; C Class;2014;15701;Automatic;20498;Diesel;20;64,2;2,1;mercedes
20; C Class;2019;26601;Automatic;9949;Diesel;150;64,2;2,0;mercedes
21; C Class;2016;17672;Automatic;31656;Diesel;30;64,2;2,1;mercedes
22; E Class;2015;20769;Automatic;21874;Diesel;165;51,4;3,0;mercedes
23; E Class;2017;22270;Automatic;13398;Diesel;165;52,3;3,0;mercedes
24; GL Class;2015;34129;Automatic;13581;Diesel;330;36,2;3,0;mercedes
25; SL CLASS;2017;20601;Automatic;16730;Diesel;150;70,6;2,1;mercedes
26; CLS Class;2016;25077;Automatic;13887;Diesel;165;49,6;3,0;mercedes
27; SL CLASS;2017;21609;Automatic;2780;Diesel;30;70,6;2,1;mercedes
28; SL CLASS;2018;22914;Automatic;8725;Petrol;145;47,9;2,0;mercedes
29; C Class;2016;19328;Automatic;25042;Diesel;30;64,2;2,1;mercedes
30; C Class;2019;29546;Automatic;7990;Diesel;145;54,3;2,0;mercedes
31; GLC Class;2019;35611;Automatic;26153;Diesel;145;45,6;3,0;mercedes
32; C Class;2017;15311;Automatic;31371;Diesel;20;65,7;2,1;mercedes
33; A Class;2020;28128;Automatic;2563;Petrol;145;47,9;1,3;mercedes
34; A Class;2019;23184;Manual;1173;Petrol;145;44,8;1,3;mercedes
35; A Class;2017;15787;Automatic;24092;Diesel;20;70,6;2,1;mercedes
36; GLC Class;2018;30682;Automatic;14517;Diesel;145;56,5;2,1;mercedes
37; A Class;2019;25701;Automatic;11000;Diesel;150;56,5;2,0;mercedes
38; C Class;2020;31790;Automatic;3500;Petrol;145;64,2;2,0;mercedes
39; A Class;2019;25190;Automatic;2471;Diesel;145;56,5;2,0;mercedes
40; SLK;2014;15990;Automatic;43955;Petrol;205;43,5;1,8;mercedes
41; CLS Class;2018;34990;Automatic;18837;Diesel;150;47,9;2,9;mercedes
42; GLC Class;2019;30799;Automatic;9886;Diesel;145;41,5;2,1;mercedes
43; C Class;2017;19743;Automatic;16509;Diesel;145;61,4;2,1;mercedes
44; C Class;2019;24055;Automatic;7475;Diesel;145;61,4;2,0;mercedes
45; B Class;2019;20945;Automatic;13661;Petrol;145;45,6;1,3;mercedes
46; C Class;2019;28524;Automatic;8263;Diesel;145;57,7;2,0;mercedes
47; E Class;2019;24541;Automatic;10279;Diesel;145;67,3;2,0;mercedes
48; E Class;2017;20880;Automatic;37000;Diesel;30;65,7;2,0;mercedes
49; A Class;2006;2880;Automatic;66000;Diesel;160;52,3;2,0;mercedes
50; CLC Class;2010;5880;Automatic;40000;Petrol;300;34,0;1,8;mercedes
51; C Class;2015;14940;Automatic;43000;Diesel;20;64,2;2,1;mercedes
52; SLK;2004;4890;Automatic;46000;Petrol;330;28,0;3,5;mercedes
53; SL CLASS;2010;16990;Automatic;18000;Petrol;555;29,1;3,5;mercedes
54; B Class;2010;3890;Automatic;71000;Petrol;240;40,9;1,5;mercedes
55; B Class;2011;3990;Automatic;90000;Petrol;240;40,9;1,5;mercedes
56; A Class;2011;3440;Manual;74000;Diesel;150;54,3;2,0;mercedes
57; GLE Class;2020;48995;Automatic;3000;Diesel;145;36,7;2,0;mercedes
58; SLK;2008;5980;Automatic;60000;Petrol;280;34,4;1,8;mercedes
59; E Class;2015;13990;Automatic;52000;Diesel;125;60,1;2,1;mercedes
60; CLA Class;2016;14480;Automatic;84000;Petrol;200;42,8;2,0;mercedes
61; E Class;2010;6980;Manual;79000;Petrol;300;35,3;1,8;mercedes
62; C Class;2014;11290;Automatic;48000;Diesel;145;56,5;2,1;mercedes
63; E Class;2011;5740;Manual;115000;Diesel;160;52,3;2,1;mercedes
64; V Class;2017;31980;Automatic;16000;Diesel;145;44,8;2,1;mercedes
65; CLA Class;2014;15990;Automatic;45000;Diesel;30;62,8;2,1;mercedes
66; B Class;2015;11240;Automatic;47000;Diesel;125;56,5;2,1;mercedes
67; GLC Class;2019;37980;Automatic;6200;Petrol;145;34,0;3,0;mercedes
68; C Class;2019;28980;Automatic;5500;Diesel;145;60,1;2,0;mercedes
69; C Class;2019;23280;Automatic;3908;Petrol;145;44,1;1,5;mercedes
70; C Class;2019;32980;Automatic;2000;Diesel;145;64,2;2,0;mercedes
71; M Class;2008;5990;Automatic;110000;Diesel;555;28,8;3,0;mercedes
72; A Class;2013;7300;Automatic;54000;Diesel;30;65,7;1,8;mercedes
73; S Class;2014;41980;Automatic;26000;Petrol;555;28,0;5,5;mercedes
74; GL Class;2007;7340;Automatic;104000;Diesel;570;28,8;3,0;mercedes
75; GL Class;2007;8490;Automatic;74000;Diesel;570;28,8;3,0;mercedes
76; C Class;2009;4480;Automatic;130000;Diesel;300;37,7;3,0;mercedes
77; S Class;2016;24880;Automatic;75000;Hybrid;190;42,4;3,5;mercedes
78; E Class;2015;17480;Automatic;22000;Diesel;140;53,3;3,0;mercedes
79; E Class;2007;4880;Automatic;58000;Diesel;315;37,2;3,0;mercedes
80; S Class;2015;38980;Automatic;11000;Petrol;270;33,2;4,7;mercedes
81; SLK;2010;7495;Manual;59147;Petrol;300;36,2;1,8;mercedes
