;model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
0; Octavia;2017;10550;Manual;25250;Petrol;150;54,3;1,4;skoda
1; Citigo;2018;8200;Manual;1264;Petrol;145;67,3;1,0;skoda
2; Octavia;2019;15650;Automatic;6825;Diesel;145;67,3;2,0;skoda
3; Yeti Outdoor;2015;14000;Automatic;28431;Diesel;165;51,4;2,0;skoda
4; Superb;2019;18350;Manual;10912;Petrol;150;40,9;1,5;skoda
5; Yeti Outdoor;2017;13250;Automatic;47005;Diesel;145;51,4;2,0;skoda
6; Superb;2019;15250;Manual;14850;Petrol;145;40,9;1,5;skoda
7; Octavia;2019;18950;Automatic;5850;Diesel;150;50,4;2,0;skoda
8; Kodiaq;2019;29900;Automatic;2633;Petrol;150;31,4;2,0;skoda
9; Octavia;2017;18990;Manual;20000;Petrol;150;43,5;2,0;skoda
10; Octavia;2016;8500;Automatic;91280;Diesel;30;64,2;2,0;skoda
11; Octavia;2017;8695;Manual;84450;Diesel;0;74,3;1,6;skoda
12; Superb;2016;7000;Manual;109060;Diesel;20;68,9;1,6;skoda
13; Rapid;2016;7950;Manual;33013;Petrol;20;57,7;1,2;skoda
14; Karoq;2018;19772;Manual;12894;Petrol;150;51,4;1,5;skoda
15; Fabia;2012;4695;Manual;54631;Petrol;125;49,6;1,2;skoda
16; Fabia;2012;4250;Manual;61000;Petrol;125;49,6;1,2;skoda
17; Octavia;2018;13490;Automatic;31866;Diesel;150;72,4;1,6;skoda
18; Yeti;2014;9980;Manual;41936;Diesel;205;48,7;2,0;skoda
19; Fabia;2017;11290;Manual;15282;Petrol;150;64,2;1,0;skoda
20; Scala;2020;17000;Manual;731;Petrol;150;50,4;1,0;skoda
21; Octavia;2019;13490;Manual;14449;Petrol;150;55,4;1,5;skoda
22; Octavia;2019;14490;Automatic;14896;Petrol;150;57,7;1,0;skoda
23; Octavia;2019;19000;Automatic;7000;Petrol;145;47,9;2,0;skoda
24; Fabia;2019;13490;Manual;6000;Petrol;145;51,4;1,0;skoda
25; Superb;2018;14690;Manual;13939;Petrol;145;40,9;1,5;skoda
26; Fabia;2017;11890;Automatic;10660;Petrol;150;60,1;1,2;skoda
27; Kodiaq;2019;21290;Automatic;11932;Petrol;145;34,0;1,5;skoda
28; Kodiaq;2019;28000;Automatic;14398;Diesel;150;49,6;2,0;skoda
29; Superb;2019;17490;Automatic;10587;Diesel;150;62,8;2,0;skoda
30; Superb;2019;23000;Automatic;5000;Petrol;145;36,7;1,5;skoda
31; Fabia;2019;8690;Manual;12368;Petrol;145;50,4;1,0;skoda
32; Fabia;2019;12690;Manual;2174;Petrol;150;50,4;1,0;skoda
33; Kodiaq;2019;29000;Automatic;3785;Petrol;150;31,4;2,0;skoda
34; Kodiaq;2019;29000;Automatic;5705;Petrol;150;31,4;2,0;skoda
35; Superb;2017;20000;Automatic;8448;Diesel;150;61,4;2,0;skoda
36; Yeti Outdoor;2016;16000;Automatic;18200;Diesel;165;51,4;2,0;skoda
37; Octavia;2019;13690;Automatic;13393;Diesel;145;72,4;1,6;skoda
