;model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
0; GT86;2016;16000;Manual;24089;Petrol;265;36,2;2,0;toyota
1; GT86;2017;15995;Manual;18615;Petrol;145;36,2;2,0;toyota
2; GT86;2015;13998;Manual;27469;Petrol;265;36,2;2,0;toyota
3; GT86;2017;18998;Manual;14736;Petrol;150;36,2;2,0;toyota
4; GT86;2017;17498;Manual;36284;Petrol;145;36,2;2,0;toyota
5; GT86;2017;15998;Manual;26919;Petrol;260;36,2;2,0;toyota
6; GT86;2017;18522;Manual;10456;Petrol;145;36,2;2,0;toyota
7; GT86;2017;18995;Manual;12340;Petrol;145;36,2;2,0;toyota
8; GT86;2020;27998;Manual;516;Petrol;150;33,2;2,0;toyota
9; GT86;2016;13990;Manual;37999;Petrol;265;36,2;2,0;toyota
10; GT86;2013;10495;Manual;72000;Petrol;265;36,2;2,0;toyota
11; GT86;2017;17990;Manual;12597;Petrol;145;36,2;2,0;toyota
12; GT86;2017;16995;Manual;36100;Petrol;145;36,2;2,0;toyota
13; GT86;2019;23995;Manual;995;Petrol;145;33,2;2,0;toyota
14; GT86;2018;18498;Manual;35228;Petrol;145;36,2;2,0;toyota
15; GT86;2019;23980;Manual;1751;Petrol;145;33,2;2,0;toyota
16; GT86;2017;17995;Manual;16444;Petrol;265;36,2;2,0;toyota
17; GT86;2014;12998;Manual;25499;Petrol;260;36,2;2,0;toyota
18; GT86;2019;23495;Automatic;3934;Petrol;145;32,8;2,0;toyota
19; GT86;2019;25780;Manual;5123;Petrol;145;33,2;2,0;toyota
20; GT86;2020;26995;Semi-Auto;1500;Petrol;145;32,8;2,0;toyota
21; GT86;2019;23998;Semi-Auto;913;Petrol;145;32,8;2,0;toyota
22; GT86;2019;26995;Manual;2680;Petrol;150;33,2;2,0;toyota
23; GT86;2017;17000;Manual;14345;Petrol;150;36,2;2,0;toyota
24; GT86;2018;19995;Manual;15525;Petrol;150;36,2;2,0;toyota
25; GT86;2020;31000;Manual;3000;Petrol;145;33,2;2,0;toyota
26; GT86;2016;15995;Semi-Auto;19460;Petrol;200;39,8;2,0;toyota
27; GT86;2018;18490;Manual;31231;Petrol;150;36,2;2,0;toyota
28; GT86;2020;24990;Manual;339;Petrol;145;33,2;2,0;toyota
29; GT86;2015;13981;Manual;30500;Petrol;265;36,2;2,0;toyota
30; GT86;2015;13991;Manual;38126;Petrol;260;36,2;2,0;toyota
31; GT86;2019;27060;Automatic;3348;Petrol;145;32,8;2,0;toyota
32; GT86;2018;20695;Manual;5260;Petrol;145;36,2;2,0;toyota
33; GT86;2019;25999;Manual;100;Petrol;145;33,2;2,0;toyota
34; GT86;2013;11575;Manual;50584;Petrol;265;36,2;2,0;toyota
35; GT86;2017;20995;Manual;6445;Petrol;145;36,2;2,0;toyota
36; GT86;2014;14999;Manual;18389;Petrol;260;36,2;2,0;toyota
37; GT86;2019;27000;Semi-Auto;100;Petrol;145;32,8;2,0;toyota
38; GT86;2016;15000;Manual;28321;Petrol;265;36,2;2,0;toyota
39; GT86;2019;22200;Semi-Auto;16241;Petrol;145;32,8;2,0;toyota
40; GT86;2019;24990;Manual;3150;Petrol;145;33,2;2,0;toyota
41; GT86;2019;25995;Manual;8912;Petrol;145;33,2;2,0;toyota
