;model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
0; Corsa;2018;7885;Manual;9876;Petrol;145;55,4;1,4;vauxhall
1; Corsa;2019;11995;Manual;2500;Petrol;145;54,3;1,4;vauxhall
2; Corsa;2017;9777;Automatic;9625;Petrol;145;47,9;1,4;vauxhall
3; Corsa;2016;8500;Manual;25796;Petrol;30;55,4;1,4;vauxhall
4; Corsa;2019;10000;Manual;3887;Petrol;145;43,5;1,4;vauxhall
5; Corsa;2017;9743;Manual;13546;Petrol;145;49,6;1,4;vauxhall
6; Corsa;2011;3995;Manual;53067;Petrol;145;49,6;1,4;vauxhall
7; Corsa;2019;9990;Manual;3953;Petrol;150;43,5;1,4;vauxhall
8; Corsa;2018;10000;Manual;11160;Petrol;145;43,5;1,4;vauxhall
9; Corsa;2016;6999;Manual;13046;Petrol;30;55,4;1,4;vauxhall
10; Corsa;2016;7996;Manual;10316;Petrol;30;55,4;1,4;vauxhall
11; Corsa;2013;4350;Manual;52243;Petrol;125;51,4;1,2;vauxhall
12; Corsa;2012;2295;Manual;80000;Diesel;30;67,3;1,2;vauxhall
13; Corsa;2009;3690;Manual;31000;Diesel;30;62,8;1,2;vauxhall
14; Corsa;2017;8095;Manual;17866;Petrol;145;54,3;1,4;vauxhall
15; Corsa;2014;5995;Manual;40584;Petrol;125;51,4;1,2;vauxhall
16; Corsa;2016;6199;Manual;22519;Petrol;30;55,4;1,4;vauxhall
17; Corsa;2016;7999;Manual;4314;Petrol;30;55,4;1,4;vauxhall
18; Corsa;2016;7995;Manual;11991;Petrol;30;55,4;1,4;vauxhall
19; Corsa;2018;9495;Manual;7905;Petrol;150;55,4;1,4;vauxhall
20; Corsa;2016;6495;Manual;30161;Petrol;30;55,4;1,4;vauxhall
21; Corsa;2018;6695;Manual;9293;Petrol;145;55,4;1,4;vauxhall
22; Corsa;2013;4995;Manual;66000;Petrol;125;51,4;1,2;vauxhall
23; Corsa;2014;4995;Manual;66000;Petrol;125;51,4;1,4;vauxhall
24; Corsa;2008;4495;Automatic;31000;Petrol;200;42,8;1,4;vauxhall
25; Corsa;2012;4695;Manual;63000;Petrol;125;51,4;1,2;vauxhall
26; Corsa;2009;2495;Manual;86558;Petrol;160;45,6;1,4;vauxhall
27; Corsa;2017;7199;Manual;20196;Petrol;145;55,4;1,4;vauxhall
28; Corsa;2019;10699;Manual;1757;Petrol;145;43,5;1,4;vauxhall
29; Corsa;2017;7790;Manual;27669;Petrol;30;55,4;1,4;vauxhall
30; Corsa;2019;9699;Manual;4511;Petrol;145;43,5;1,4;vauxhall
31; Corsa;2017;8999;Manual;4377;Petrol;145;55,4;1,4;vauxhall
32; Corsa;2017;7285;Manual;25644;Petrol;30;55,4;1,4;vauxhall
33; Corsa;2017;7999;Manual;14060;Petrol;30;55,4;1,4;vauxhall
34; Corsa;2017;8995;Manual;18016;Petrol;150;54,3;1,4;vauxhall
35; Corsa;2017;7990;Manual;15078;Petrol;30;54,3;1,4;vauxhall
36; Corsa;2017;8500;Manual;28966;Petrol;145;54,3;1,4;vauxhall
37; Corsa;2018;10500;Manual;12000;Petrol;145;43,5;1,4;vauxhall
38; Corsa;2018;11955;Manual;15531;Petrol;145;48,7;1,4;vauxhall
39; Corsa;2015;7955;Manual;17527;Petrol;125;54,3;1,4;vauxhall
40; Corsa;2017;8198;Manual;6508;Petrol;145;54,3;1,4;vauxhall
