;model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
0; T-Roc;2019;25000;Automatic;13904;Diesel;145;49,6;2,0;vw
1; T-Roc;2019;26883;Automatic;4562;Diesel;145;49,6;2,0;vw
2; T-Roc;2019;20000;Manual;7414;Diesel;145;50,4;2,0;vw
3; T-Roc;2019;33492;Automatic;4825;Petrol;145;32,5;2,0;vw
4; T-Roc;2019;22900;Semi-Auto;6500;Petrol;150;39,8;1,5;vw
5; T-Roc;2020;31895;Manual;10;Petrol;145;42,2;1,5;vw
6; T-Roc;2020;27895;Manual;10;Petrol;145;42,2;1,5;vw
7; T-Roc;2020;39495;Semi-Auto;10;Petrol;145;32,5;2,0;vw
8; T-Roc;2019;21995;Manual;10;Petrol;145;44,1;1,0;vw
9; T-Roc;2019;23285;Manual;10;Petrol;145;42,2;1,5;vw
10; T-Roc;2019;23985;Semi-Auto;10;Petrol;145;39,8;1,5;vw
11; T-Roc;2019;23585;Manual;10;Petrol;145;42,2;1,5;vw
12; T-Roc;2020;25785;Semi-Auto;10;Petrol;145;39,8;1,5;vw
13; T-Roc;2019;23995;Semi-Auto;1069;Petrol;145;39,8;1,5;vw
14; T-Roc;2018;17495;Manual;21645;Petrol;145;53,3;1,5;vw
15; T-Roc;2018;21495;Manual;16972;Petrol;145;53,3;1,5;vw
16; T-Roc;2018;18995;Manual;15100;Petrol;145;44,1;1,0;vw
17; T-Roc;2018;18995;Manual;1380;Petrol;150;55,4;1,0;vw
18; T-Roc;2019;33785;Semi-Auto;2500;Petrol;145;32,5;2,0;vw
19; T-Roc;2020;23790;Semi-Auto;5000;Petrol;145;39,8;1,5;vw
20; T-Roc;2019;19995;Manual;12300;Petrol;145;42,2;1,5;vw
21; T-Roc;2020;21690;Manual;2500;Petrol;145;44,1;1,0;vw
22; T-Roc;2019;23290;Manual;5540;Petrol;145;42,2;1,5;vw
23; T-Roc;2019;24790;Manual;3500;Petrol;145;42,2;1,5;vw
24; T-Roc;2018;19995;Manual;16251;Petrol;145;53,3;1,5;vw
25; T-Roc;2019;20290;Manual;5127;Petrol;145;42,2;1,5;vw
26; T-Roc;2019;33990;Semi-Auto;3500;Petrol;145;32,5;2,0;vw
27; T-Roc;2018;17685;Manual;22584;Petrol;145;44,1;1,0;vw
28; T-Roc;2020;24495;Manual;1955;Diesel;150;50,4;2,0;vw
29; T-Roc;2018;17995;Manual;10456;Petrol;150;55,4;1,0;vw
30; T-Roc;2020;28290;Semi-Auto;2500;Petrol;145;39,8;1,5;vw
31; T-Roc;2018;17495;Manual;6908;Petrol;145;55,4;1,0;vw
32; T-Roc;2019;22990;Manual;7216;Diesel;145;50,4;1,6;vw
33; T-Roc;2019;22995;Manual;4003;Diesel;145;46,3;2,0;vw
34; T-Roc;2019;21498;Manual;5;Diesel;150;50,4;1,6;vw
35; T-Roc;2018;17995;Manual;14837;Petrol;145;53,3;1,5;vw
36; T-Roc;2018;17995;Manual;14337;Petrol;145;53,3;1,5;vw
37; T-Roc;2019;22230;Manual;3392;Diesel;145;50,4;2,0;vw
38; T-Roc;2018;18695;Manual;6753;Petrol;145;53,3;1,5;vw
39; T-Roc;2019;25990;Semi-Auto;2423;Diesel;145;49,6;2,0;vw
